,age,sex,years_study,color_race,salary,civil_status,region
355,29,man,9.0,brown,9696.0,married,north
356,30,woman,6.0,brown,1804.199951171875,married,north
357,42,man,10.0,brown,16810.439453125,married,north
358,35,woman,14.0,white,5500.0,married,north
359,28,man,11.0,brown,19980.0,married,north
360,24,woman,5.0,brown,13800.0,married,north
361,41,woman,11.0,brown,41400.0,not_married,north
362,46,man,15.0,black,24398.3984375,married,north
363,44,woman,15.0,white,26504.3984375,married,north
364,48,man,8.0,white,63600.0,married,north
365,42,woman,11.0,white,12006.0,married,north
366,49,man,7.0,white,12422.391189513477,married,north
367,42,woman,7.0,white,12422.391189513477,married,north
368,24,man,11.0,white,9240.0,not_married,north
369,42,man,5.0,brown,9858.0,married,north
370,39,woman,5.0,white,12422.391189513477,married,north
371,56,woman,6.0,brown,12422.391189513477,not_married,north
372,60,man,5.0,brown,10080.0,married,north
373,51,woman,5.0,white,1512.0,married,north
374,58,man,8.0,brown,13200.0,married,north
375,54,woman,5.0,white,1335.60009765625,married,north
376,28,man,5.0,white,12422.391189513477,not_married,north
377,21,man,5.0,white,6564.0,married,north
378,20,woman,11.0,white,12422.391189513477,married,north
379,40,man,11.0,white,19620.0,married,north
380,31,woman,15.0,brown,19620.0,married,north
381,48,man,5.0,black,26160.0,married,north
382,37,woman,11.0,brown,12422.391189513477,married,north
383,52,woman,5.0,brown,11040.0,not_married,north
384,31,man,13.0,brown,13179.0,married,north
385,30,woman,14.0,brown,5544.0,married,north
386,53,man,10.0,white,12422.391189513477,married,north
387,45,woman,11.0,white,12422.391189513477,married,north
388,24,woman,15.0,white,7920.0,not_married,north
389,28,woman,14.0,black,12422.391189513477,not_married,north
390,30,man,9.0,black,13080.0,married,north
391,27,woman,7.0,white,12422.391189513477,married,north
392,36,man,15.0,white,13628.9296875,not_married,north
393,25,man,5.0,brown,6540.0,not_married,north
394,23,woman,11.0,brown,12422.391189513477,not_married,north
395,34,man,10.0,white,19080.0,not_married,north
396,42,man,8.0,white,16560.0,married,north
397,42,woman,10.0,brown,12422.391189513477,married,north
398,59,man,5.0,white,2244.0,married,north
399,51,woman,5.0,white,0.0,married,north
400,43,woman,5.0,white,12422.391189513477,not_married,north
401,20,woman,11.0,brown,12422.391189513477,not_married,north
402,46,man,5.0,white,19080.0,married,north
403,36,woman,5.0,white,12422.391189513477,married,north
404,47,man,11.0,white,12422.391189513477,married,north
405,37,woman,11.0,white,3360.0,married,north
406,20,woman,11.0,white,12422.391189513477,not_married,north
407,23,man,11.0,brown,12818.3994140625,not_married,north
408,22,man,11.0,brown,5395.5,not_married,north
409,30,man,5.0,white,8385.2998046875,married,north
410,22,woman,5.0,brown,12422.391189513477,married,north
411,31,man,5.0,brown,5995.0,married,north
412,45,woman,5.0,brown,12422.391189513477,married,north
413,60,woman,5.0,brown,12422.391189513477,not_married,north
414,34,man,5.0,black,8393.0,married,north
415,25,woman,5.0,white,12422.391189513477,married,north
416,43,woman,10.0,black,3465.0,not_married,north
417,20,man,7.0,brown,6954.2001953125,not_married,north
418,41,man,10.0,white,15696.0,married,north
419,39,woman,11.0,white,12422.391189513477,married,north
420,40,man,5.0,black,10080.0,married,north
421,32,woman,11.0,white,12422.391189513477,married,north
422,27,man,9.0,brown,24720.0,not_married,north
423,41,man,5.0,white,11550.0,married,north
424,43,woman,5.0,brown,12422.391189513477,married,north
425,59,man,5.0,white,22880.0,married,north
426,60,woman,5.0,brown,12422.391189513477,married,north
427,23,man,14.0,brown,10395.0,not_married,north
428,29,woman,15.0,white,12422.391189513477,not_married,north
429,39,man,5.0,black,5935.39990234375,married,north
430,30,woman,5.0,black,6016.7998046875,married,north
431,31,man,11.0,white,10823.7001953125,married,north
432,34,woman,11.0,black,2520.0,married,north
433,38,man,11.0,white,12422.391189513477,not_married,north
434,48,woman,11.0,white,3405.0,married,north
435,51,man,5.0,brown,7416.0,married,north
436,23,woman,5.0,brown,12422.391189513477,not_married,north
437,49,man,11.0,brown,6180.0,married,north
438,40,woman,5.0,white,12422.391189513477,married,north
439,41,man,5.0,white,5229.0,married,north
440,28,woman,8.0,brown,12422.391189513477,married,north
442,28,woman,6.0,brown,10080.0,married,north
443,32,man,5.0,brown,12422.391189513477,married,north
444,51,man,5.0,white,37440.0,married,north
445,22,woman,10.0,white,3120.0,married,north
446,23,man,11.0,white,9450.0,married,north
447,24,woman,11.0,black,2835.0,married,north
448,27,man,7.0,brown,10710.0,married,north
449,20,woman,5.0,brown,12422.391189513477,married,north
450,23,man,5.0,brown,6857.0,not_married,north
451,25,man,5.0,brown,2616.0,not_married,north
452,45,man,5.0,white,14388.0,married,north
453,23,woman,5.0,black,12422.391189513477,married,north
454,49,man,8.0,white,13680.0,married,north
455,49,woman,8.0,white,12422.391189513477,married,north
456,20,woman,11.0,white,1809.4000244140625,not_married,north
457,44,man,5.0,brown,22050.0,married,north
458,36,woman,8.0,brown,12422.391189513477,married,north
459,60,woman,5.0,white,0.0,not_married,north
460,27,woman,5.0,brown,2496.0,married,north
461,27,man,5.0,brown,168.0,married,north
462,26,man,6.0,brown,1604.0999755859375,married,north
463,26,woman,5.0,brown,12422.391189513477,married,north
464,22,man,5.0,brown,1932.0,married,north
465,24,woman,5.0,brown,12422.391189513477,married,north
466,35,man,5.0,brown,5935.39990234375,married,north
467,35,woman,5.0,brown,3274.7998046875,married,north
468,27,woman,8.0,brown,3021.199951171875,not_married,north
469,23,man,6.0,white,2820.0,married,north
470,24,woman,5.0,white,12422.391189513477,married,north
471,33,woman,12.0,brown,5129.400390625,married,north
472,31,man,5.0,brown,435.75,married,north
473,38,woman,5.0,brown,2769.199951171875,not_married,north
474,34,man,5.0,brown,12840.0,married,north
475,21,woman,11.0,white,12422.391189513477,married,north
476,32,woman,15.0,brown,12840.0,married,north
477,20,man,7.0,brown,12422.391189513477,married,north
478,47,man,5.0,brown,12422.391189513477,not_married,north
479,28,man,15.0,brown,3210.0,not_married,north
480,27,woman,5.0,brown,0.0,not_married,north
481,32,man,5.0,brown,5935.39990234375,married,north
482,24,woman,5.0,brown,105.0,married,north
483,44,man,5.0,black,1523.3999633789062,married,north
484,38,woman,5.0,white,12422.391189513477,married,north
485,32,man,5.0,brown,16848.0,married,north
486,28,woman,5.0,black,0.0,married,north
487,40,man,11.0,brown,8820.0,married,north
488,37,woman,8.0,brown,12422.391189513477,married,north
489,28,man,9.0,black,8190.0,not_married,north
490,23,man,10.0,brown,6666.0,married,north
491,24,woman,11.0,white,4363.2001953125,married,north
492,52,man,5.0,brown,7632.0,married,north
493,39,woman,5.0,brown,12422.391189513477,married,north
494,51,man,5.0,brown,15756.0,married,north
495,53,woman,5.0,white,4848.0,married,north
496,34,man,11.0,brown,9450.0,married,north
497,32,woman,11.0,white,7272.0,married,north
498,34,woman,7.0,brown,12422.391189513477,not_married,north
499,33,man,11.0,brown,9090.0,married,north
500,33,woman,14.0,brown,8080.0,married,north
501,58,man,5.0,white,12422.391189513477,married,north
502,56,woman,5.0,white,12422.391189513477,married,north
503,36,man,9.0,brown,8316.0,not_married,north
504,31,man,11.0,white,40716.0,married,north
505,21,woman,11.0,brown,12422.391189513477,married,north
506,52,woman,5.0,brown,4662.0,married,north
507,57,man,5.0,white,4662.0,married,north
508,21,woman,13.0,brown,4662.0,not_married,north
509,23,man,11.0,white,4662.0,not_married,north
510,29,man,11.0,brown,142560.0,married,north
511,24,woman,14.0,brown,8568.0,married,north
512,34,woman,11.0,white,4242.0,not_married,north
513,27,man,6.0,brown,7514.400390625,not_married,north
514,27,man,11.0,brown,5575.2001953125,married,north
515,30,woman,11.0,white,6678.0,married,north
516,37,man,7.0,brown,2789.599975585937,married,north
517,38,woman,5.0,white,12422.391189513477,married,north
518,30,man,6.0,white,11998.80078125,married,north
519,33,woman,5.0,brown,999.9000244140624,married,north
520,30,man,5.0,white,1600.0,married,north
521,22,woman,11.0,white,4980.0,married,north
522,36,woman,5.0,brown,1257.449951171875,not_married,north
523,20,woman,7.0,brown,2514.89990234375,not_married,north
524,29,man,5.0,white,6000.0,married,north
525,27,woman,13.0,white,12422.391189513477,married,north
526,39,man,11.0,black,12422.391189513477,not_married,north
527,40,man,15.0,white,72000.0,married,north
528,29,woman,11.0,white,15600.0,married,north
529,33,man,5.0,white,5500.0,not_married,north
530,30,woman,5.0,brown,5261.75,not_married,north
531,38,woman,9.0,brown,12422.391189513477,not_married,north
532,28,man,11.0,brown,20808.0,not_married,north
533,35,man,15.0,white,23760.0,not_married,north
534,37,woman,5.0,brown,16572.958984375,married,north
